fdc_id,description,Energy (Atwater Specific Factors) (KCAL),Protein (G),Total lipid (fat) (G),"Carbohydrate, by difference (G)","Fiber, total dietary (G)","Sugars, total including NLEA (G)",Leucine (G),"Fatty acids, total monounsaturated (G)","PUFA 18:2 n-6 c,c (LA) (G)","PUFA 18:3 n-3 c,c,c (ALA) (G)",PUFA 20:5 n-3 (EPA) (G),PUFA 22:6 n-3 (DHA) (G),"Fatty acids, total trans","Sugars, added","Fatty acids, total saturated (G)","Vitamin A, RAE (UG)","Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Vitamin E (alpha-tocopherol) (MG),Vitamin B-6 (MG),"Folate, DFE (UG)",Biotin (UG),"Magnesium, Mg (MG)","Zinc, Zn (MG)","Selenium, Se (UG)","Iron, Fe (MG)","Potassium, K (MG)",Niacin (MG),"Calcium, Ca (MG)","Copper, Cu (MG)","Iodine, I (UG)","Manganese, Mn (MG)","Molybdenum, Mo (UG)","Phosphorus, P (MG)",Thiamin (MG),Riboflavin (MG),Pantothenic acid (MG),Vitamin B-12 (UG),Sodium (mg),Added Sugars (g)
170565,"Nuts, acorns, dried",507.142857,8.1,31.41,53.66,0,0,0.644,19.896,0,0,0,0,0,0,4.084,0,0,0,0,0.695,115,0,82,0.67,0,1.04,709,2.406,54,0.818,0,1.363,0,103,0.149,0.154,0.94,0,0,0
170566,"Nuts, acorn flour, full fat",499.047619,7.49,30.17,54.65,0,0,0.596,19.11,0,0,0,0,0,0,3.923,3,0,0,0,0.688,114,0,110,0.64,0,1.21,712,2.382,43,0.611,0,1.743,0,103,0.146,0.154,0.931,0,0,0
170567,"Nuts, almonds",576.904762,21.15,49.93,21.55,12.5,4.35,1.473,31.551,12.32,0.003,0,0,0.015,0,3.802,0,0,0,25.63,0.137,44,0,270,3.12,4.1,3.71,733,3.618,269,1.031,0,2.179,0,481,0.205,1.138,0.471,0,1,0
170568,"Nuts, almonds, blanched",587.619048,21.4,52.52,18.67,9.9,4.63,1.479,33.415,0,0,0,0,0.019,0,3.953,0,0,0,23.75,0.115,49,0,268,2.97,3.2,3.28,659,3.5,236,1.027,0,1.835,0,481,0.191,0.711,0.314,0,19,0
170569,"Nuts, brazilnuts, dried, unblanched",659,14.32,67.1,11.74,7.5,2.33,1.19,23.879,23.859,0.018,0,0,0,0,16.134,0,0.7,0,5.65,0.101,22,0,376,4.06,1917,2.43,659,0.295,160,1.743,0,1.223,0,725,0.617,0.035,0.184,0,3,0
170570,"Nuts, butternuts, dried",609.761905,24.9,56.98,12.05,4.7,0,2.199,10.425,0,0,0,0,0,0,1.306,6,3.2,0,0,0.56,66,0,237,3.13,17.2,4.02,421,1.045,53,0.45,0,6.56,0,446,0.383,0.148,0.633,0,1,0
170571,"Nuts, cashew nuts, dry roasted, without salt added",574,15.31,46.35,32.69,3,5.01,1.285,27.317,0,0,0,0,0,0,9.157,0,0,0,0.92,0.256,69,0,260,5.6,11.7,6,565,1.4,45,2.22,0,0.826,0,490,0.2,0.2,1.217,0,16,0
170572,"Nuts, cashew nuts, oil roasted, without salt added",580,16.84,47.77,29.87,3.3,5.01,1.361,25.923,0,0,0,0,0,0,8.478,0,0.3,0,0.92,0.323,25,0,273,5.35,20.3,6.05,632,1.736,43,2.043,0,1.668,0,531,0.363,0.218,0.88,0,13,0
170573,"Nuts, chestnuts, chinese, roasted",238.095238,4.48,1.19,52.36,0,0,0.276,0.62,0,0,0,0,0,0,0.175,0,38.4,0,0,0.437,72,0,90,0.93,0,1.5,477,1.5,19,0.387,0,1.708,0,102,0.15,0.09,0.592,0,4,0
170574,"Nuts, chestnuts, european, raw, unpeeled",212.142857,2.42,2.26,45.54,8.1,0,0.143,0.78,0,0,0,0,0,0,0.425,1,43,0,0,0.376,62,0,32,0.52,0,1.01,518,1.179,27,0.447,0,0.952,0,93,0.238,0.168,0.509,0,3,0
